address,latitude,longitude,sidebarheader,sidebarheader2,sidebarimage,description,description2,icon_url,iconwidth,iconheight,icon2_url,icon2width,icon2height,icon3_url,icon3width,icon3height,category,category2,category3,category4,starts,ends,cost,tags,favorite,GeoJSON
Istanbul Turkey,41.0082,28.9784,Istanbul Turkey,,https://github.com/mapabuena/BA/blob/main/Instanbul.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Buenos Aires ARG,-34.6037,-58.3816,Buenos Aires ARG,,https://github.com/mapabuena/BA/blob/main/BuenosAires.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Mexico City MEX,19.4326,-99.1332,Mexico City MEX,,https://github.com/mapabuena/BA/blob/main/MexicoCity.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Barcelona ESP,41.3851,2.1734,Barcelona ESP,,https://github.com/mapabuena/BA/blob/main/Barcelona.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
New York USA,40.7128,-74.006,New York USA,,https://github.com/mapabuena/BA/blob/main/nycskyline.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Los Angeles CA,34.0522,-118.2437,Los Angeles CA,,https://github.com/mapabuena/BA/blob/main/LosAngeles.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Montreal CA,45.5017,-73.5673,Montreal CA,,https://github.com/mapabuena/BA/blob/main/Montreal.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Lisbon Portugal,38.7223,-9.1393,Lisbon Portugal,,https://github.com/mapabuena/BA/blob/main/Lisbon.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
London UK,51.5074,-0.1278,London UK,,https://github.com/mapabuena/BA/blob/main/London.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Dubai UAE,25.2048,55.2708,Dubai UAE,,https://github.com/mapabuena/BA/blob/main/Dubai.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Paris FRA,48.8566,2.3522,Paris FRA,,https://github.com/mapabuena/BA/blob/main/Paris.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
Bangkok THA,13.7563,100.5018,Bangkok THA,,https://github.com/mapabuena/BA/blob/main/Bangkok.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,30,75,,,,,,,,,,
